Location Name,Venue,Location Link,Contact Number
Abpara,"Regalia Hotel, Street 48, G-6/1, near New Aabpara",https://maps.app.goo.gl/T88PshamKFinq5VP9,3335120812
ghauri-town,"Grand Oasis Marquee, near Petrol Pump, Service Road, Phase 2, Ghauri Town",https://maps.app.goo.gl/ZnQb6xiYy6RRLMP57,3148925873
Wasna,"Wasna Event Complex, Block E, Jinnah Garden, near Naval Anchorage",https://maps.app.goo.gl/VBT9byCVoiXooycv9,3273777117
adam-lodge,"Adam Lodge, Chatta Bakhtawar, Park Road",https://maps.app.goo.gl/V4Tk5Rc3PSkAcsKY8,3005114500
murree-road,"Milan Marriage Hall, Main Murree Road, Bhara Kahu",https://maps.app.goo.gl/txitD3JnTdSwWr958,3145835458
humak,"Chaudhry Marriage Hall, Nai Abadi, Model Town Humak",https://maps.app.goo.gl/gwh42zVFv6YYK4tT8,3139856449
I-10,"Basement Masjid Hall, Kick Start, Plot No. 189, I-10/3",https://maps.app.goo.gl/hVxxPVqnWi9JLRB26,3355333095
pwd,"Community Hub, Ground Floor, Silk Center, Street 18, Phase 2, Pakistan Town",https://maps.app.goo.gl/Yg5YGKBBzpmwqGzh9,3112111193
F-11,"Jabal-e-Noor Mosque, Hilal Road, Sector F-11/3",https://maps.app.goo.gl/G37fY32mc8BPRwq67,3344328173
E-11,"Jamia Masjid Qurtuba, Khalid Bin Waleed Road, Street No. 76, Sector E-11/2",https://maps.app.goo.gl/bKfqtmXiVEW3HZHi6,3014733804
Pehont,"Quran Complex, Pehont",https://maps.app.goo.gl/s8unJ28p3o3v7D4G6,3455511341
G-13,"Rayyan Marquee, East Service Road, G-13",https://maps.app.goo.gl/WmWQGH34qiBfoKs79,3458562055
G-11,"Jamia Masjid Al-Huda, Street No. 39, Sector G-11/2",https://maps.app.goo.gl/5RoZ5ouyAfQKrhai7,3321311222
kahuta,Ghulam Rabbani Qureshi Welfare Trust and Kidney Center,https://maps.app.goo.gl/34MnsZPZU6HESjLL6,3005018029
Murree,"Masjid Sirat-ul-Jannah, Company Bagh, Murree",https://maps.app.goo.gl/C1iAdftKRQLiFkrw8,3455992634
Mansehra-road,"Madani Jamia Masjid, Irrigation Jab Pul (Bridge), Mansehra Road",https://maps.app.goo.gl/YrcbFWNBBzrvRhKj9,3335057120